"The Lord of the Rings","The Lord of the Rings is an epic high-fantasy novel written by English author J. R. R. Tolkien. The story began as a sequel to Tolkien's 1937 fantasy novel The Hobbit, but eventually developed into a much larger work. Written in stages between 1937 and 1949, The Lord of the Rings is one of the best-selling novels ever written, with over 150 million copies sold. ","The title of the novel refers to the story's main antagonist, the Dark Lord Sauron,[note 1] who had in an earlier age created the One Ring to rule the other Rings of Power as the ultimate weapon in his campaign to conquer and rule all of Middle-earth. From quiet beginnings in the Shire, a hobbit land not unlike the English countryside, the story ranges across Middle-earth, following the course of the War of the Ring through the eyes of its characters, not only the hobbits Frodo Baggins, Samwise ""Sam"" Gamgee, Meriadoc ""Merry"" Brandybuck and Peregrin ""Pippin"" Took, but also the hobbits' chief allies and travelling companions: the Men Aragorn son of Arathorn, a Ranger of the North, and Boromir, a Captain of Gondor; Gimli son of Glóin, a Dwarf warrior; Legolas Greenleaf, an Elven prince; and Gandalf, a Wizard. The work was initially intended by Tolkien to be one volume of a two-volume set, the other to be The Silmarillion, but this idea was dismissed by his publisher.[3][4] For economic reasons The Lord of the Rings was published in three volumes over the course of a year from 29 July 1954 to 20 October 1955.[3][5] The three volumes were titled The Fellowship of the Ring, The Two Towers, and The Return of the King. Structurally, the novel is divided internally into six books, two per volume, with several appendices of background material included at the end of the third volume. Some editions combine the entire work into a single volume. The Lord of the Rings has since been reprinted numerous times and translated into 38 languages."
"The Hobbit","This article is about the novel. For the 2012–2014 film series, see The Hobbit (film series). For other uses, see The Hobbit (disambiguation). ""There and Back Again"" redirects here. For other uses, see There and Back Again (disambiguation).","The Hobbit, or There and Back Again is a children's fantasy novel by English author J. R. R. Tolkien. It was published on 21 September 1937 to wide critical acclaim, being nominated for the Carnegie Medal and awarded a prize from the New York Herald Tribune for best juvenile fiction. The book remains popular and is recognized as a classic in children's literature.

Set in a time ""Between the Dawn of Færie and the Dominion of Men"",[1] The Hobbit follows the quest of home-loving hobbit Bilbo Baggins to win a share of the treasure guarded by the dragon, Smaug. Bilbo's journey takes him from light-hearted, rural surroundings into more sinister territory.[2] The story is told in the form of an episodic quest, and most chapters introduce a specific creature, or type of creature, of Tolkien's geography. By accepting the disreputable, romantic, fey and adventurous sides of his nature and applying his wits and common sense, Bilbo gains a new level of maturity, competence and wisdom.[3] The story reaches its climax in the Battle of the Five Armies, where many of the characters and creatures from earlier chapters re-emerge to engage in conflict."
"The Little Prince","This article is about the novella. For other uses, see Little Prince.
""Asteroid B-612"" redirects here. For the foundation, see B612 Foundation.","The Little Prince (French: Le Petit Prince; French pronunciation: ​[lə pəti pʁɛ̃s]), first published in 1943, is a novella, the most famous work of the French aristocrat, writer, poet, and pioneering aviator Antoine de Saint-Exupéry (1900–1944).

The novella is the fourth most-translated book in the world and was voted the best book of the 20th century in France. Translated into more than 250 languages and dialects (as well as Braille),[3][4] selling nearly two million copies annually with sales totaling over 140 million copies worldwide,[5] it has become one of the best-selling books ever published.[6][7][8][Note 2]

After the outbreak of the Second World War Saint-Exupéry was exiled to North America. In the midst of personal upheavals and failing health, he produced almost half of the writings for which he would be remembered, including a tender tale of loneliness, friendship, love, and loss, in the form of a young prince fallen to Earth. An earlier memoir by the author had recounted his aviation experiences in the Sahara Desert, and he is thought to have drawn on those same experiences in The Little Prince."
"Harry Potter and the Philosopher's Stone","This article is about the book. For its adaptations, see Harry Potter and the Philosopher's Stone (film) and Harry Potter and the Philosopher's Stone (video game). For the film's soundtrack, see Harry Potter and the Philosopher's Stone (soundtrack).","Harry Potter and the Philosopher's Stone is the first novel in the Harry Potter series and J. K. Rowling's debut novel, first published in 1997 by Bloomsbury. It was published in the United States as Harry Potter and the Sorcerer's Stone by Scholastic Corporation in 1998. The plot follows Harry Potter, a young wizard who discovers his magical heritage as he makes close friends and a few enemies in his first year at the Hogwarts School of Witchcraft and Wizardry. With the help of his friends, Harry faces an attempted comeback by the dark wizard Lord Voldemort, who killed Harry's parents, but failed to kill Harry when he was just a year old.

The novel won most of the British book awards that were judged by children and other awards in the US. The book reached the top of the New York Times list of best-selling fiction in August 1999 and stayed near the top of that list for much of 1999 and 2000. It has been translated into at least sixty-seven other languages and has been made into a feature-length film of the same name, as have all six of its sequels."
"And Then There Were None","And Then There Were None is a mystery novel by Agatha Christie, widely considered her masterpiece and described by her as the most difficult of her books to write.[2] It was first published in the United Kingdom by the Collins Crime Club on 6 November 1939, as Ten Little Niggers,[3] after the British blackface song, which serves as a major plot point.[4][5] The US edition was not released until December 1939; its American reprints and adaptations were all retitled And Then There Were None, the last five words in the original American version of the nursery rhyme (""Ten Little Indians"")","In the novel, a group of people are lured into coming to an island under different pretexts, e.g., offers of employment, to enjoy a late summer holiday, or to meet old friends. All have been complicit in the deaths of other human beings, but either escaped justice or committed an act that was not subject to legal sanction. The guests and two servants who are present are ""charged"" with their respective ""crimes"" by a gramophone recording after dinner the first night, and informed that they have been brought to the island to pay for their actions. They are the only people on the island, and cannot escape due to the distance from the mainland and the inclement weather, and gradually all ten are killed in turn, each in a manner that seems to parallel the deaths in the nursery rhyme. Nobody else seems to be left alive on the island by the time of the apparent last death. A confession, in the form of a postscript to the novel, unveils how the killings took place and who was responsible."
"Dream of the Red Chamber","""The Story of the Stone"" redirects here. For the 1988 novel, see The Story of the Stone (Barry Hughart).
For other uses, see Dream of the Red Chamber (disambiguation).","Dream of the Red Chamber, also called The Story of the Stone, composed by Cao Xueqin, is one of China's Four Great Classical Novels. It was written sometime in the middle of the 18th century during the Qing Dynasty. Considered a masterpiece of Chinese literature, it is generally acknowledged to be the pinnacle of Chinese fiction. ""Redology"" is the field of study devoted exclusively to this work.[1]

The title has also been translated as Red Chamber Dream and A Dream of Red Mansions. The novel circulated in manuscript copies with various titles until its print publication, in 1791. While the first 80 chapters were written by Cao Xueqin, Gao E, who prepared the first and second printed editions with his partner Cheng Weiyuan in 1791–2, added 40 additional chapters to complete the novel"
"She: A History of Adventure","She — subtitled A History of Adventure — is a novel by H. Rider Haggard (1856–1925), first serialised in The Graphic magazine from October 1886 to January 1887.","She — subtitled A History of Adventure — is a novel by H. Rider Haggard (1856–1925), first serialised in The Graphic magazine from October 1886 to January 1887. She is one of the classics of imaginative literature, and one of the best-selling books of all time, with over 100 million copies sold in 44 different languages as of 2013.[1] She was extraordinarily popular upon its release and has never been out of print. According to literary historian Andrew M. Stauffer, ""She has always been Rider Haggard's most popular and influential novel, challenged only by King Solomon's Mines in this regard"".

The story is a first-person narrative that follows the journey of Horace Holly and his ward Leo Vincey to a lost kingdom in the African interior. There they encounter a primitive race of natives and a mysterious white queen named Ayesha who reigns as the all-powerful ""She"", or ""She-who-must-be-obeyed"". In this work, Rider Haggard developed the conventions of the Lost World subgenre, which many later authors emulated."
"The Lion, the Witch and the Wardrobe","For the film adaptation of the novel, see The Chronicles of Narnia: The Lion, the Witch and the Wardrobe. For other uses (disambiguation), see The Lion, the Witch and the Wardrobe (disambiguation)","The Lion, the Witch and the Wardrobe is a high fantasy novel for children by C. S. Lewis, published by Geoffrey Bles in 1950. It's the first published and best known of seven novels in The Chronicles of Narnia (1950–1956). Among all the author's books it is also the most widely held in libraries.[2] Although it was written as well as published first in the series, it is volume two in recent editions, which are sequenced by the stories' chronology (the first being The Magician's Nephew). Like the others, it was illustrated by Pauline Baynes, and her work has been retained in many later editions.[1][3]

Most of the novel is set in Narnia, a land of talking animals and mythical creatures that one White Witch has ruled for 100 years of deep winter. In the frame story, four English children are relocated to a large, old country house following a wartime evacuation. The youngest visits Narnia three times via the magic of a wardrobe in a spare room. All four children are together on her third visit, which verifies her fantastic claims and comprises the subsequent 12 of 17 chapters except for a brief conclusion. In Narnia, the siblings seem fit to fulfill an old prophecy and so are soon adventuring both to save Narnia and their lives. Lewis wrote the book for, and dedicated it to, his goddaughter Lucy Barfield. She was the daughter of Owen Barfield, Lewis's friend, teacher, adviser, and trustee."
"The Da Vinci Code","The Da Vinci Code is a 2003 mystery-detective novel by Dan Brown. It follows symbologist Robert Langdon and cryptologist Sophie Neveu after a murder in the Louvre Museum in Paris, when they become involved in a battle between the Priory of Sion and Opus Dei over the possibility of Jesus Christ having been married to Mary Magdalene","The Da Vinci Code is a 2003 mystery-detective novel by Dan Brown. It follows symbologist Robert Langdon and cryptologist Sophie Neveu after a murder in the Louvre Museum in Paris, when they become involved in a battle between the Priory of Sion and Opus Dei over the possibility of Jesus Christ having been married to Mary Magdalene. The title of the novel refers, among other things, to the finding of the first murder victim in the Grand Gallery of the Louvre, naked and posed like Leonardo da Vinci's famous drawing, the Vitruvian Man, with a cryptic message written beside his body and a pentagram drawn on his chest in his own blood.

The novel explores an alternative religious history, whose central plot point is that the Merovingian kings of France were descended from the bloodline of Jesus Christ and Mary Magdalene, ideas derived from Clive Prince's The Templar Revelation (1997) and books by Margaret Starbird. The book also refers to The Holy Blood and the Holy Grail (1982) though Dan Brown has stated that it was not used as research material."
"Think and Grow Rich","Think and Grow Rich was written in 1937 by Napoleon Hill, promoted as a personal development and self-improvement book. Hill writes that he was inspired by a suggestion from business magnate and (later) philanthropist Andrew Carnegie.[1] While the book's title and much of the text concerns increased income, the author insists that the philosophy taught in the book can help people succeed in any line of work, to do and be anything they can imagine","Think and Grow Rich was written in 1937 by Napoleon Hill, promoted as a personal development and self-improvement book. Hill writes that he was inspired by a suggestion from business magnate and (later) philanthropist Andrew Carnegie.[1] While the book's title and much of the text concerns increased income, the author insists that the philosophy taught in the book can help people succeed in any line of work, to do and be anything they can imagine.[2]

The book was first published during the Great Depression.[3] At the time of Hill's death in 1970, Think and Grow Rich had sold more than 20 million copies, and by 2011 over 70 million copies had been sold worldwide.[4][5] It remains the biggest seller of Napoleon Hill's books. BusinessWeek magazine's Best-Seller List ranked it the sixth best-selling paperback business book 70 years after it was published.[6] Think and Grow Rich is listed in John C. Maxwell's A Lifetime ""Must Read"" Books List. [7]"
